risk,rat_present,season,hours_after_sunset,month,bat_landing_to_food
0,1,1,7.046944444,4,0.081091814
0,1,1,7.379722222,4,2.0
0,1,1,7.509166667,4,0.090564496
0,1,1,7.545833333,4,2.0
0,1,1,7.546944444,4,14.0
0,1,1,7.580277778,4,0.032779517
0,1,1,7.587777778,4,10.0
0,1,1,7.591666667,4,22.0
1,1,1,7.600555556,4,0.068238813
1,1,1,7.614722222,4,11.0
0,1,1,7.741666667,4,1.0
0,1,1,7.743055556,4,2.0
1,1,1,8.101388889,4,0.042707344
0,1,1,8.102222222,4,13.0
1,1,1,8.105833333,4,0.043905767
0,1,1,8.124166667,4,1.0
1,1,1,8.136111111,4,0.076705397
0,1,1,8.446388889,4,0.040958086
1,1,1,8.48,4,0.056999457
1,1,1,8.480277778,4,0.099530937
1,1,1,8.4825,4,0.014419381
0,1,1,8.736111111,4,3.0
0,1,1,8.931666667,4,5.0
1,1,1,9.323055556,4,0.040564984
1,1,1,3.194444444,4,16.0
0,1,1,3.276666667,4,1.0
0,1,1,3.806111111,4,0.044489486
1,1,1,3.808333333,4,2.0
1,1,1,6.975,4,54.0
0,1,1,7.520833333,4,1.0
0,1,1,8.135555556,4,3.0
0,1,1,8.481944444,4,22.0
0,1,1,0.217222222,4,0.051207358
0,1,1,0.242777778,4,1.0
0,1,1,0.260277778,4,1.0
1,1,1,0.348333333,4,5.0
1,1,1,2.360555556,4,0.039785341
0,1,1,2.426388889,4,176.0
0,1,1,2.434722222,4,3.0
1,1,1,2.436388889,4,2.0
1,1,1,3.381944444,4,4.0
0,1,1,3.406111111,4,237.0
1,1,1,3.506944444,4,1.0
0,1,1,4.857222222,4,12.0
0,1,1,4.848888889,4,39.0
1,1,1,4.863333333,4,14.0
1,1,1,4.871111111,4,5.0
1,1,1,4.878611111,4,0.016181067
1,1,1,4.887777778,4,29.0
1,1,1,4.894722222,4,3.0
1,1,1,4.900555556,4,18.0
1,1,1,4.946944444,4,11.0
0,1,1,4.966666667,4,1.0
0,1,1,4.992777778,4,0.093784466
0,1,1,4.999444444,4,0.019265878
0,1,1,5.003333333,4,1.0
0,1,1,5.030555556,4,6.0
1,1,1,5.035,4,10.0
0,1,1,5.045555556,4,0.058920205
0,1,1,6.802777778,4,0.024862202
0,1,1,6.803333333,4,1.0
1,1,1,6.81,4,10.0
0,1,1,6.815277778,4,1.0
0,1,1,6.825833333,4,1.0
0,1,1,6.831111111,4,0.014004332
1,1,1,6.8375,4,7.0
0,1,1,6.851944444,4,7.0
1,1,1,7.604166667,4,3.0
1,1,1,7.611111111,4,6.0
0,1,1,7.614722222,4,1.0
0,1,1,7.620555556,4,4.0
0,1,1,7.63,4,5.0
0,1,1,7.65,4,26.0
0,1,1,8.251666667,4,4.0
0,1,1,8.331388889,4,4.0
0,1,1,8.343888889,4,10.0
1,1,1,8.346388889,4,10.0
0,1,1,8.353611111,4,2.0
0,1,1,8.360833333,4,1.0
0,1,1,8.365833333,4,3.0
0,1,1,8.374166667,4,3.0
1,1,1,8.383611111,4,73.0
0,1,1,8.756111111,4,3.0
0,1,1,8.799722222,4,0.068554286
0,1,1,8.809444444,4,3.0
1,1,1,0.276944444,4,4.0
0,1,1,0.736388889,4,1.0
1,1,1,0.761666667,4,20.0
1,1,1,0.767777778,4,9.0
1,1,1,0.863333333,4,54.0
0,1,1,3.726666667,4,1.0
0,1,1,3.730833333,4,25.0
1,1,1,3.749166667,4,14.0
1,1,1,3.751666667,4,8.0
0,1,1,3.753055556,4,6.0
1,1,1,4.640833333,4,26.0
0,1,1,4.644722222,4,6.0
1,1,1,4.664166667,4,24.0
0,1,1,4.681388889,4,1.0
0,1,1,4.689444444,4,19.0
0,1,1,6.1875,4,3.0
0,1,1,6.191388889,4,6.0
0,1,1,6.200833333,4,1.0
1,1,1,6.583333333,4,7.0
0,1,1,6.591944444,4,1.0
1,1,1,6.605833333,4,16.0
0,1,1,6.989722222,4,11.0
0,1,1,7.0225,4,18.0
0,1,1,7.036388889,4,2.0
0,1,1,8.379722222,4,2.0
0,1,1,8.427777778,4,1.0
0,1,1,8.433055556,4,7.0
0,1,1,8.476944444,4,6.0
0,1,1,8.490277778,4,5.0
0,1,1,8.494444444,4,2.0
1,1,1,8.497777778,4,23.0
1,1,1,8.5075,4,13.0
1,1,1,8.478888889,4,71.0
0,1,1,10.23305556,4,2.0
0,1,1,10.14944444,4,1.0
0,1,1,-0.169166667,4,0.025345863
0,1,1,-0.148611111,4,0.096196
0,1,1,-0.144444444,4,0.063701466
0,1,1,1.341944444,4,0.094784549
1,1,1,1.358888889,4,0.076254237
1,1,1,1.419166667,4,0.014184241
1,1,1,2.198055556,4,9.0
1,1,1,2.210833333,4,28.0
0,1,1,3.725555556,4,1.0
0,1,1,3.754166667,4,5.0
1,1,1,4.036944444,4,0.047647063
1,1,1,4.054444444,4,0.090449811
0,1,1,4.075555556,4,3.0
0,1,1,4.084444444,4,14.0
1,1,1,5.060833333,4,17.0
1,1,1,5.075833333,4,20.0
1,1,1,5.110277778,4,0.099179779
0,1,1,5.138888889,4,11.0
0,1,1,5.611111111,4,2.0
1,1,1,5.611944444,4,0.043720185
0,1,1,5.614166667,4,0.019372407
1,1,1,5.622777778,4,174.0
1,1,1,5.735277778,4,2.0
1,1,1,5.740555556,4,6.0
1,1,1,5.743888889,4,5.0
0,1,1,5.746388889,4,3.0
1,1,1,5.758888889,4,0.069546705
1,1,1,5.761944444,4,0.035887407
0,1,1,5.77,4,5.0
0,1,1,5.772777778,4,6.0
0,1,1,5.779444444,4,0.087634798
0,1,1,5.780833333,4,3.0
0,1,1,6.0175,4,0.038141769
1,1,1,6.026666667,4,0.09694048
0,1,1,6.032222222,4,2.0
0,1,1,6.049166667,4,2.0
0,1,1,6.409444444,4,4.0
0,1,1,6.430277778,4,5.0
0,1,1,6.432222222,4,3.0
0,1,1,6.448888889,4,5.0
0,1,1,6.450277778,4,0.020820512
1,1,1,6.496666667,4,9.0
0,1,1,6.501388889,4,1.0
0,1,1,6.539166667,4,21.0
1,1,1,6.544722222,4,4.0
0,1,1,7.544166667,4,1.0
0,1,1,7.556388889,4,31.0
0,1,1,7.581111111,4,6.0
1,1,1,7.659722222,4,2.0
1,1,1,7.663611111,4,0.071250736
0,1,1,7.668888889,4,4.0
0,1,1,7.672777778,4,7.0
0,1,1,7.751666667,4,3.0
0,1,1,7.769166667,4,0.083007044
1,1,1,7.785,4,0.014550835
1,1,1,7.925833333,4,72.0
1,1,1,8.252222222,4,2.0
0,1,1,8.2625,4,12.0
1,1,1,8.356666667,4,0.025349973
1,1,1,8.441666667,4,0.094601342
1,1,1,8.450555556,4,26.0
0,1,1,9.265,4,0.044300625
0,1,1,9.299166667,4,0.09536188
0,1,1,9.688333333,4,0.091074825
0,1,1,4.049166667,4,2.0
0,1,1,4.053611111,4,1.0
1,1,1,4.056666667,4,80.0
1,1,1,7.545555556,4,67.0
0,1,1,7.5525,4,1.0
0,1,1,7.784722222,4,2.0
1,1,1,8.459722222,4,105.0
0,1,1,1.414722222,4,0.017597713
0,1,1,1.499722222,4,0.032534418
0,1,1,1.503888889,4,4.0
1,1,1,1.5175,4,14.0
1,1,1,3.5725,4,20.0
0,1,1,3.573888889,4,2.0
1,1,1,3.59,4,36.0
1,1,1,3.611388889,4,8.0
1,1,1,3.6225,4,0.097800752
1,1,1,3.690277778,4,0.063312201
1,1,1,3.7075,4,18.0
0,1,1,3.716111111,4,2.0
1,1,1,3.718333333,4,5.0
0,1,1,3.786944444,4,0.078489345
1,1,1,6.196944444,4,22.0
1,1,1,6.201944444,4,46.0
1,1,1,6.211111111,4,9.0
0,1,1,6.215,4,4.0
1,1,1,6.218055556,4,0.085746166
0,1,1,6.220277778,4,4.0
1,1,1,6.243611111,4,0.040027684
0,1,1,6.306388889,4,0.076567662
1,1,1,6.352777778,4,0.072746343
1,1,1,6.355,4,0.055695432
1,1,1,6.357222222,4,33.0
1,1,1,6.365,4,39.0
0,1,1,6.3875,4,3.0
0,1,1,7.387777778,4,0.094277126
0,1,1,7.395555556,4,1.0
0,1,1,7.409722222,4,0.019462583
0,1,1,7.415277778,4,7.0
0,1,1,7.423333333,4,0.037865482
0,1,1,7.431944444,4,4.0
1,1,1,7.451111111,4,0.037828205
1,1,1,7.450277778,4,22.0
0,1,1,7.543611111,4,0.099086619
1,1,1,7.545277778,4,0.033212611
1,1,1,7.614166667,4,0.096084094
1,1,1,8.582777778,4,7.0
0,1,1,8.596111111,4,6.0
1,1,1,6.254166667,4,5.0
1,1,1,2.662777778,4,8.0
1,1,1,2.705,4,5.0
1,1,1,2.9,4,17.0
1,1,1,3.389722222,4,1.0
0,1,1,3.732777778,4,2.0
1,1,1,3.746666667,4,31.0
0,1,1,3.749722222,4,1.0
0,1,1,3.756944444,4,2.0
1,1,1,3.887777778,4,5.0
1,1,1,3.892222222,4,13.0
1,1,1,3.900833333,4,15.0
0,1,1,3.97,4,1.0
0,1,1,3.980833333,4,3.0
0,1,1,3.993611111,4,2.0
0,1,1,4.401111111,4,6.0
1,1,1,4.829722222,4,11.0
1,1,1,4.873055556,4,3.0
0,1,1,4.882222222,4,6.0
1,1,1,4.882777778,4,5.0
1,1,1,4.882777778,4,5.0
